frame,x,y,w,h,conf
424,473.00,225.00,27.00,35.00,0.69
426,440.00,224.00,28.00,36.00,0.79
427,423.00,223.00,25.00,35.00,0.78
428,397.00,222.00,28.00,33.00,0.74
429,365.00,224.00,27.00,34.00,0.78
430,336.00,224.00,30.00,38.00,0.81
431,307.00,225.00,32.00,40.00,0.84
432,281.00,225.00,29.00,37.00,0.88
433,251.00,228.00,30.00,38.00,0.87
434,218.00,228.00,29.00,38.00,0.89
435,185.00,229.00,33.00,41.00,0.89
436,153.00,229.00,33.00,40.00,0.88
437,123.00,228.00,32.00,39.00,0.89
438,96.00,227.00,34.00,41.00,0.86
439,70.00,228.00,36.00,42.00,0.85
440,47.00,228.00,35.00,42.00,0.86
441,23.00,230.00,33.00,40.00,0.84
442,16.00,231.00,31.00,40.00,0.72
443,11.00,232.00,23.00,35.00,0.75
445,18.00,230.00,32.00,39.00,0.80
446,31.00,229.00,33.00,42.00,0.86
447,54.00,227.00,35.00,41.00,0.85
448,71.00,228.00,35.00,43.00,0.85
449,103.00,228.00,34.00,41.00,0.85
450,135.00,227.00,33.00,42.00,0.88
451,170.00,228.00,32.00,40.00,0.88
452,221.00,226.00,30.00,37.00,0.85
453,250.00,225.00,29.00,36.00,0.86
454,287.00,225.00,29.00,37.00,0.82
455,323.00,226.00,32.00,41.00,0.83
456,368.00,221.00,23.00,30.00,0.75
457,398.00,222.00,26.00,32.00,0.76
458,426.00,224.00,24.00,34.00,0.82
459,440.00,225.00,29.00,37.00,0.84
460,457.00,226.00,29.00,37.00,0.83
461,466.00,226.00,32.00,41.00,0.80
462,477.00,224.00,20.00,29.00,0.81
463,475.00,225.00,21.00,31.00,0.79
464,473.00,226.00,22.00,34.00,0.74
465,458.00,224.00,33.00,37.00,0.79
466,450.00,222.00,22.00,31.00,0.77
467,432.00,223.00,23.00,32.00,0.75
468,411.00,225.00,22.00,32.00,0.83
469,386.00,224.00,22.00,30.00,0.78
470,353.00,225.00,30.00,38.00,0.82
471,318.00,223.00,30.00,37.00,0.82
472,295.00,224.00,29.00,37.00,0.86
473,266.00,225.00,29.00,37.00,0.87
474,237.00,225.00,30.00,38.00,0.82
475,220.00,225.00,30.00,37.00,0.87
476,197.00,226.00,31.00,41.00,0.89
477,181.00,226.00,32.00,41.00,0.87
478,175.00,225.00,32.00,39.00,0.85
479,170.00,225.00,32.00,39.00,0.88
480,173.00,224.00,30.00,37.00,0.83
481,179.00,226.00,33.00,41.00,0.86
482,186.00,226.00,31.00,39.00,0.89
483,198.00,224.00,32.00,41.00,0.88
484,212.00,225.00,32.00,41.00,0.87
485,233.00,225.00,32.00,39.00,0.89
486,254.00,226.00,28.00,36.00,0.81
487,278.00,226.00,29.00,38.00,0.85
488,312.00,225.00,26.00,35.00,0.84
489,338.00,225.00,30.00,39.00,0.83
490,361.00,226.00,30.00,38.00,0.83
491,392.00,225.00,29.00,37.00,0.84
492,426.00,227.00,32.00,37.00,0.77
493,450.00,226.00,25.00,34.00,0.80
494,475.00,226.00,23.00,33.00,0.82
495,495.00,226.00,24.00,32.00,0.75
496,510.00,229.00,26.00,36.00,0.73
497,515.00,224.00,28.00,39.00,0.78
498,515.00,224.00,29.00,40.00,0.77
