frame,x,y,conf,detected
284,89.00,221.00,0.87,1
285,57.00,220.00,0.84,1
286,38.00,221.00,0.77,1
287,24.00,219.00,0.85,1
288,19.00,218.00,0.82,1
289,24.00,220.00,0.85,1
290,41.00,219.00,0.81,1
291,67.00,217.00,0.83,1
292,90.00,218.00,0.85,1
293,131.00,218.00,0.84,1
294,171.00,220.00,0.88,1
295,204.00,220.00,0.89,1
296,258.00,220.00,0.81,1
297,307.00,221.00,0.77,1
298,359.00,217.00,0.70,1
299,407.00,218.00,0.78,1
300,454.00,219.00,0.75,1
301,502.00,219.00,0.68,1
302,501.00,218.25,0.00,0
303,500.00,217.50,0.00,0
304,499.00,216.75,0.00,0
305,498.00,216.00,0.79,1
306,473.00,215.00,0.84,1
307,440.00,216.00,0.87,1
308,393.00,218.00,0.87,1
309,369.00,214.00,0.73,1
310,321.00,215.00,0.79,1
311,491.00,249.00,0.72,1
312,218.00,216.00,0.87,1
313,162.00,212.00,0.84,1
314,106.00,214.00,0.80,1
315,62.00,215.00,0.84,1
316,491.00,249.00,0.74,1
317,491.00,250.00,0.70,1
318,491.00,249.00,0.73,1
319,490.00,249.00,0.77,1
320,494.00,250.00,0.67,1
321,402.80,243.20,0.00,0
322,311.60,236.40,0.00,0
323,220.40,229.60,0.00,0
324,129.20,222.80,0.00,0
325,38.00,216.00,0.79,1
326,77.00,216.00,0.87,1
327,143.00,217.00,0.83,1
328,188.00,217.00,0.89,1
329,245.50,217.00,0.00,0
330,303.00,217.00,0.85,1
331,350.00,217.00,0.77,1
332,415.00,218.00,0.76,1
333,471.00,219.00,0.78,1
334,506.00,222.00,0.73,1
335,507.00,218.00,0.66,1
336,502.00,219.00,0.00,0
337,497.00,220.00,0.75,1
338,480.00,220.00,0.77,1
339,438.00,219.00,0.78,1
340,403.00,215.00,0.70,1
341,360.00,217.00,0.84,1
342,320.00,218.00,0.85,1
343,284.00,216.00,0.84,1
344,237.00,214.00,0.85,1
345,191.00,214.00,0.85,1
346,143.00,214.00,0.74,1
347,96.00,216.00,0.72,1
348,39.00,218.00,0.79,1
349,4.00,220.00,0.71,1
350,6.42,220.50,0.00,0
351,8.83,221.00,0.00,0
352,11.25,221.50,0.00,0
353,13.67,222.00,0.00,0
354,16.08,222.50,0.00,0
355,,,0.00,0
356,,,0.00,0
357,,,0.00,0
358,,,0.00,0
359,,,0.00,0
360,,,0.00,0
361,33.00,226.00,0.82,1
362,97.00,223.00,0.78,1
363,163.00,223.00,0.83,1
364,220.00,222.00,0.88,1
365,267.00,223.00,0.87,1
366,327.00,223.00,0.84,1
367,394.00,220.00,0.76,1
368,441.33,219.00,0.00,0
369,488.67,218.00,0.00,0
370,536.00,217.00,0.69,1
371,491.00,249.00,0.76,1
372,491.00,249.00,0.76,1
373,491.00,250.00,0.75,1
374,543.00,213.00,0.77,1
375,491.00,249.00,0.75,1
376,491.00,250.00,0.75,1
377,491.00,249.00,0.76,1
378,490.00,249.00,0.76,1
379,491.00,248.00,0.72,1
380,490.00,248.00,0.72,1
381,489.00,248.00,0.73,1
382,490.00,248.00,0.69,1
383,488.50,227.50,0.00,0
384,487.00,207.00,0.68,1
385,451.00,208.00,0.74,1
386,424.00,211.00,0.80,1
387,376.00,211.00,0.75,1
388,322.00,212.00,0.75,1
389,285.00,210.00,0.85,1
390,490.00,248.00,0.71,1
391,187.00,208.00,0.86,1
392,142.00,212.00,0.86,1
393,94.00,211.00,0.87,1
394,57.00,211.00,0.84,1
395,22.00,208.00,0.75,1
396,9.00,211.00,0.80,1
397,12.00,213.62,0.00,0
398,15.00,216.25,0.00,0
399,18.00,218.88,0.00,0
400,21.00,221.50,0.00,0
401,24.00,224.12,0.00,0
402,,,0.00,0
403,,,0.00,0
404,33.00,232.00,0.83,1
405,57.00,232.00,0.73,1
406,92.00,232.00,0.84,1
407,124.00,232.00,0.86,1
408,168.00,229.00,0.77,1
409,207.00,229.00,0.84,1
410,246.00,227.00,0.86,1
411,302.00,226.00,0.76,1
412,363.00,225.00,0.80,1
413,429.00,226.00,0.69,1
414,490.00,225.00,0.79,1
415,492.29,224.71,0.00,0
416,494.57,224.43,0.00,0
417,496.86,224.14,0.00,0
418,499.14,223.86,0.00,0
419,501.43,223.57,0.00,0
420,,,0.00,0
421,506.00,223.00,0.75,1
422,503.00,222.00,0.77,1
423,491.00,223.00,0.82,1
424,473.00,225.00,0.69,1
425,456.50,224.50,0.00,0
426,440.00,224.00,0.79,1
427,423.00,223.00,0.78,1
428,397.00,222.00,0.74,1
429,365.00,224.00,0.78,1
430,336.00,224.00,0.81,1
431,307.00,225.00,0.84,1
432,281.00,225.00,0.88,1
433,251.00,228.00,0.87,1
434,218.00,228.00,0.89,1
435,185.00,229.00,0.89,1
436,153.00,229.00,0.88,1
437,123.00,228.00,0.89,1
438,96.00,227.00,0.86,1
439,70.00,228.00,0.85,1
440,47.00,228.00,0.86,1
441,23.00,230.00,0.84,1
442,16.00,231.00,0.72,1
443,11.00,232.00,0.75,1
444,14.50,231.00,0.00,0
445,18.00,230.00,0.80,1
446,31.00,229.00,0.86,1
447,54.00,227.00,0.85,1
448,71.00,228.00,0.85,1
449,103.00,228.00,0.85,1
450,135.00,227.00,0.88,1
451,170.00,228.00,0.88,1
452,221.00,226.00,0.85,1
453,250.00,225.00,0.86,1
454,287.00,225.00,0.82,1
455,323.00,226.00,0.83,1
456,368.00,221.00,0.75,1
457,398.00,222.00,0.76,1
458,426.00,224.00,0.82,1
459,440.00,225.00,0.84,1
460,457.00,226.00,0.83,1
461,466.00,226.00,0.80,1
462,477.00,224.00,0.81,1
463,475.00,225.00,0.79,1
464,473.00,226.00,0.74,1
465,458.00,224.00,0.79,1
466,450.00,222.00,0.77,1
467,432.00,223.00,0.75,1
468,411.00,225.00,0.83,1
469,386.00,224.00,0.78,1
470,353.00,225.00,0.82,1
471,318.00,223.00,0.82,1
472,295.00,224.00,0.86,1
473,266.00,225.00,0.87,1
474,237.00,225.00,0.82,1
475,220.00,225.00,0.87,1
476,197.00,226.00,0.89,1
477,181.00,226.00,0.87,1
478,175.00,225.00,0.85,1
479,170.00,225.00,0.88,1
480,173.00,224.00,0.83,1
481,179.00,226.00,0.86,1
482,186.00,226.00,0.89,1
483,198.00,224.00,0.88,1
484,212.00,225.00,0.87,1
485,233.00,225.00,0.89,1
486,254.00,226.00,0.81,1
487,278.00,226.00,0.85,1
488,312.00,225.00,0.84,1
489,338.00,225.00,0.83,1
490,361.00,226.00,0.83,1
491,392.00,225.00,0.84,1
492,426.00,227.00,0.77,1
493,450.00,226.00,0.80,1
494,475.00,226.00,0.82,1
495,495.00,226.00,0.75,1
496,510.00,229.00,0.73,1
497,515.00,224.00,0.78,1
498,515.00,224.00,0.77,1
499,515.00,224.00,0.75,1
500,507.00,225.00,0.77,1
501,498.00,225.00,0.77,1
502,472.00,226.00,0.80,1
503,456.00,226.00,0.76,1
504,442.00,224.00,0.76,1
505,422.00,221.00,0.72,1
506,392.00,225.00,0.77,1
507,351.00,223.00,0.81,1
508,319.00,222.00,0.84,1
509,295.00,224.00,0.87,1
510,257.00,226.00,0.81,1
511,237.00,226.00,0.81,1
512,221.00,225.00,0.85,1
513,210.00,226.00,0.86,1
514,206.00,226.00,0.86,1
515,211.00,228.00,0.85,1
516,220.00,226.00,0.86,1
517,231.00,227.00,0.88,1
518,253.00,227.00,0.83,1
519,282.00,229.00,0.81,1
520,306.00,228.00,0.81,1
521,338.00,226.00,0.78,1
522,369.00,226.00,0.81,1
523,392.00,227.00,0.84,1
524,434.00,225.00,0.78,1
525,458.00,229.00,0.80,1
526,476.00,229.00,0.81,1
527,495.00,230.00,0.82,1
528,506.00,229.00,0.81,1
529,507.00,229.00,0.82,1
530,499.00,230.00,0.80,1
531,487.00,229.00,0.83,1
532,460.00,230.00,0.82,1
533,427.00,228.00,0.81,1
534,390.00,229.00,0.68,1
535,338.00,229.00,0.83,1
536,293.00,228.00,0.85,1
537,258.00,228.00,0.85,1
538,213.00,227.00,0.86,1
539,179.00,229.00,0.87,1
540,130.00,230.00,0.88,1
541,86.00,229.00,0.84,1
542,59.00,228.00,0.88,1
543,42.00,228.00,0.88,1
544,40.00,229.00,0.87,1
545,51.00,229.00,0.88,1
546,68.00,231.00,0.88,1
547,97.00,230.00,0.85,1
548,133.00,230.00,0.83,1
549,168.00,229.00,0.85,1
550,207.00,231.00,0.76,1
551,268.00,231.00,0.83,1
552,320.00,231.00,0.81,1
553,374.00,230.00,0.76,1
554,422.00,230.00,0.75,1
555,467.00,230.00,0.75,1
556,500.00,231.00,0.82,1
557,511.00,229.00,0.00,0
558,522.00,227.00,0.68,1
559,519.33,227.00,0.00,0
560,516.67,227.00,0.00,0
561,514.00,227.00,0.76,1
562,496.00,225.00,0.76,1
563,472.00,226.00,0.81,1
564,458.00,225.00,0.82,1
565,434.00,221.00,0.76,1
566,412.00,224.00,0.77,1
567,393.00,223.00,0.79,1
568,367.00,220.00,0.83,1
569,347.00,217.00,0.73,1
570,336.00,218.00,0.80,1
571,329.00,219.00,0.84,1
572,328.00,223.00,0.81,1
573,336.00,222.00,0.80,1
574,349.00,221.00,0.80,1
575,376.00,224.00,0.78,1
576,403.00,225.00,0.79,1
577,441.00,224.00,0.81,1
578,478.00,221.00,0.77,1
579,485.00,220.80,0.00,0
580,492.00,220.60,0.00,0
581,499.00,220.40,0.00,0
582,506.00,220.20,0.00,0
583,513.00,220.00,0.75,1
584,499.00,218.00,0.76,1
585,480.00,217.00,0.78,1
586,454.00,216.00,0.71,1
587,424.00,218.00,0.83,1
588,392.00,216.00,0.86,1
589,357.00,216.00,0.75,1
590,320.00,215.00,0.82,1
591,282.00,218.00,0.88,1
592,241.00,217.00,0.85,1
593,192.00,221.00,0.87,1
594,143.00,223.00,0.85,1
595,109.00,224.00,0.87,1
596,63.00,225.00,0.83,1
597,24.00,228.00,0.83,1
598,8.00,228.00,0.76,1
599,5.00,222.00,0.68,1
600,6.33,224.67,0.00,0
601,7.67,227.33,0.00,0
602,9.00,230.00,0.68,1
603,32.00,228.00,0.86,1
604,69.00,228.00,0.84,1
605,121.00,225.00,0.88,1
606,172.00,226.00,0.86,1
607,222.00,224.00,0.82,1
608,273.00,225.00,0.83,1
609,334.00,224.00,0.79,1
610,376.00,224.00,0.77,1
611,424.00,225.00,0.82,1
612,476.00,225.00,0.79,1
613,501.00,227.00,0.82,1
614,507.00,224.00,0.73,1
615,513.00,224.00,0.00,0
616,519.00,224.00,0.00,0
617,525.00,224.00,0.74,1
618,499.00,224.00,0.82,1
619,476.00,225.00,0.80,1
620,436.00,227.00,0.77,1
621,402.00,224.00,0.80,1
622,370.00,226.00,0.82,1
623,337.00,224.00,0.79,1
624,293.00,223.00,0.85,1
625,255.00,224.00,0.81,1
626,207.00,221.00,0.87,1
627,158.00,219.00,0.89,1
628,113.00,218.00,0.78,1
629,75.00,220.00,0.87,1
630,48.00,221.00,0.85,1
631,41.00,220.00,0.80,1
632,43.00,220.00,0.87,1
633,59.00,218.00,0.87,1
634,85.00,216.00,0.82,1
635,121.00,218.00,0.81,1
636,164.00,220.00,0.83,1
637,224.00,219.00,0.87,1
638,278.00,224.00,0.85,1
639,336.00,224.00,0.81,1
640,392.00,224.00,0.72,1
641,424.00,222.00,0.74,1
642,467.00,222.00,0.70,1
643,506.00,220.00,0.71,1
644,504.00,219.00,0.77,1
645,517.00,224.00,0.72,1
646,505.00,223.00,0.79,1
647,476.00,222.00,0.77,1
648,440.00,224.00,0.78,1
649,406.00,219.00,0.79,1
650,333.00,217.00,0.78,1
651,289.00,216.00,0.83,1
652,254.00,217.00,0.82,1
653,191.00,220.00,0.88,1
654,140.00,220.00,0.88,1
655,97.00,220.00,0.87,1
656,68.00,221.00,0.84,1
657,40.00,222.00,0.82,1
658,27.00,221.00,0.82,1
659,21.00,221.00,0.74,1
660,24.00,219.00,0.81,1
661,37.00,218.00,0.82,1
662,58.00,218.00,0.82,1
663,78.00,221.00,0.89,1
664,113.00,221.00,0.87,1
665,151.00,223.00,0.77,1
666,204.00,224.00,0.88,1
667,250.00,224.00,0.87,1
668,287.00,221.00,0.85,1
669,334.00,219.00,0.79,1
670,367.00,223.00,0.79,1
671,409.00,220.50,0.00,0
672,451.00,218.00,0.79,1
673,464.00,218.00,0.80,1
674,476.00,220.00,0.79,1
675,491.00,219.00,0.74,1
676,475.00,219.00,0.79,1
677,456.00,221.00,0.71,1
678,431.00,220.00,0.83,1
679,384.00,215.00,0.79,1
680,335.00,215.00,0.75,1
681,290.00,216.00,0.78,1
682,214.00,218.00,0.70,1
683,159.00,217.00,0.80,1
684,149.67,217.33,0.00,0
685,140.33,217.67,0.00,0
686,131.00,218.00,0.00,0
687,121.67,218.33,0.00,0
688,112.33,218.67,0.00,0
689,,,0.00,0
690,,,0.00,0
691,,,0.00,0
692,,,0.00,0
693,,,0.00,0
694,,,0.00,0
695,47.00,221.00,0.84,1
696,95.00,220.00,0.86,1
697,159.00,219.00,0.86,1
698,211.00,220.00,0.79,1
699,288.00,222.00,0.84,1
700,351.00,222.00,0.77,1
701,410.00,220.00,0.75,1
702,465.00,219.50,0.00,0
703,520.00,219.00,0.67,1
704,520.00,219.33,0.00,0
705,520.00,219.67,0.00,0
706,520.00,220.00,0.74,1
707,490.00,221.00,0.78,1
708,457.00,219.00,0.66,1
709,408.50,220.00,0.00,0
710,360.00,221.00,0.79,1
711,289.00,220.00,0.81,1
712,241.00,219.00,0.70,1
713,167.00,221.00,0.71,1
714,119.00,222.00,0.81,1
715,63.00,218.00,0.82,1
716,20.00,216.00,0.77,1
717,24.31,215.54,0.00,0
718,28.62,215.08,0.00,0
719,32.92,214.62,0.00,0
720,37.23,214.15,0.00,0
721,41.54,213.69,0.00,0
722,,,0.00,0
723,,,0.00,0
724,,,0.00,0
725,,,0.00,0
726,,,0.00,0
727,,,0.00,0
728,,,0.00,0
729,76.00,210.00,0.85,1
730,120.00,213.00,0.74,1
731,177.00,215.00,0.77,1
732,233.00,217.00,0.73,1
733,278.00,219.00,0.76,1
734,334.00,221.00,0.77,1
735,390.00,221.00,0.76,1
736,441.00,219.00,0.74,1
737,491.00,216.00,0.72,1
738,514.50,218.50,0.00,0
739,538.00,221.00,0.68,1
740,526.00,223.50,0.00,0
741,514.00,226.00,0.75,1
742,482.00,225.00,0.81,1
743,443.00,223.00,0.67,1
744,396.00,219.00,0.74,1
745,334.00,217.00,0.75,1
746,263.00,220.00,0.70,1
747,206.00,218.00,0.82,1
748,146.00,217.00,0.80,1
749,94.00,214.00,0.67,1
750,87.18,214.82,0.00,0
751,80.36,215.64,0.00,0
752,73.55,216.45,0.00,0
753,66.73,217.27,0.00,0
754,59.91,218.09,0.00,0
755,,,0.00,0
756,,,0.00,0
757,,,0.00,0
758,,,0.00,0
759,,,0.00,0
760,19.00,223.00,0.73,1
761,53.00,222.00,0.82,1
762,104.00,224.00,0.84,1
763,149.00,225.00,0.81,1
764,206.00,226.00,0.83,1
765,265.00,229.00,0.82,1
766,327.00,229.00,0.78,1
767,375.00,230.00,0.68,1
768,419.00,229.00,0.72,1
769,474.00,229.00,0.75,1
770,485.75,228.75,0.00,0
771,497.50,228.50,0.00,0
772,509.25,228.25,0.00,0
773,521.00,228.00,0.71,1
774,495.00,228.00,0.81,1
775,463.67,226.33,0.00,0
776,432.33,224.67,0.00,0
777,401.00,223.00,0.78,1
778,362.00,223.00,0.76,1
779,303.50,222.50,0.00,0
780,245.00,222.00,0.84,1
781,174.00,222.00,0.86,1
782,124.00,223.00,0.87,1
783,52.00,223.00,0.78,1
784,5.00,219.00,0.66,1
785,8.10,219.80,0.00,0
786,11.20,220.60,0.00,0
787,14.30,221.40,0.00,0
788,17.40,222.20,0.00,0
789,20.50,223.00,0.00,0
790,,,0.00,0
791,,,0.00,0
792,,,0.00,0
793,,,0.00,0
794,36.00,227.00,0.83,1
795,106.00,229.00,0.86,1
796,192.00,228.00,0.79,1
797,260.50,228.50,0.00,0
798,329.00,229.00,0.00,0
799,397.50,229.50,0.00,0
800,466.00,230.00,0.75,1
801,474.20,229.00,0.00,0
802,482.40,228.00,0.00,0
803,490.60,227.00,0.00,0
804,498.80,226.00,0.00,0
805,507.00,225.00,0.80,1
806,479.00,223.00,0.79,1
807,449.00,222.00,0.77,1
808,408.00,227.00,0.83,1
809,370.00,225.00,0.79,1
810,314.00,225.00,0.84,1
811,258.00,224.00,0.84,1
812,211.00,224.00,0.86,1
813,162.00,225.00,0.86,1
814,115.00,222.00,0.84,1
815,70.00,223.00,0.84,1
816,28.00,223.00,0.87,1
817,7.00,224.00,0.79,1
818,6.50,223.75,0.00,0
819,6.00,223.50,0.00,0
820,5.50,223.25,0.00,0
821,5.00,223.00,0.76,1
822,18.00,228.00,0.74,1
823,67.00,224.00,0.86,1
824,125.00,225.00,0.86,1
825,180.00,225.00,0.86,1
826,239.00,222.00,0.79,1
827,308.00,226.00,0.73,1
828,365.00,227.00,0.75,1
829,418.00,226.00,0.78,1
830,475.00,226.00,0.80,1
831,520.00,228.00,0.73,1
832,516.25,228.50,0.00,0
833,512.50,229.00,0.00,0
834,508.75,229.50,0.00,0
835,505.00,230.00,0.79,1
836,482.00,230.00,0.82,1
837,449.00,230.00,0.80,1
838,411.00,231.00,0.80,1
839,374.00,230.00,0.78,1
840,338.00,230.00,0.81,1
841,282.00,228.00,0.87,1
842,237.00,229.00,0.78,1
843,191.00,229.00,0.79,1
844,145.00,230.00,0.84,1
845,90.00,230.00,0.87,1
846,41.00,230.00,0.87,1
847,12.00,231.00,0.72,1
848,10.25,230.25,0.00,0
849,8.50,229.50,0.00,0
850,6.75,228.75,0.00,0
851,5.00,228.00,0.68,1
852,35.50,231.00,0.00,0
853,66.00,234.00,0.78,1
854,104.00,234.00,0.73,1
855,158.33,233.33,0.00,0
856,212.67,232.67,0.00,0
857,267.00,232.00,0.83,1
858,316.00,230.00,0.81,1
859,363.00,230.00,0.73,1
860,394.00,231.00,0.68,1
861,433.50,233.00,0.00,0
862,473.00,235.00,0.71,1
863,478.20,235.00,0.00,0
864,483.40,235.00,0.00,0
865,488.60,235.00,0.00,0
866,493.80,235.00,0.00,0
867,499.00,235.00,0.72,1
868,478.50,234.50,0.00,0
869,458.00,234.00,0.65,1
870,427.50,233.00,0.00,0
871,397.00,232.00,0.73,1
872,357.00,233.00,0.75,1
873,324.50,233.50,0.00,0
874,292.00,234.00,0.66,1
875,269.00,233.00,0.77,1
876,256.50,233.50,0.00,0
877,244.00,234.00,0.82,1
878,246.00,233.00,0.82,1
879,260.00,236.00,0.67,1
880,275.00,234.00,0.77,1
881,301.00,236.00,0.71,1
882,318.73,236.18,0.00,0
883,336.45,236.36,0.00,0
884,354.18,236.55,0.00,0
885,371.91,236.73,0.00,0
886,389.64,236.91,0.00,0
887,,,0.00,0
888,,,0.00,0
889,,,0.00,0
890,,,0.00,0
891,,,0.00,0
892,496.00,238.00,0.66,1
893,469.00,236.00,0.71,1
894,430.56,235.89,0.00,0
895,392.11,235.78,0.00,0
896,353.67,235.67,0.00,0
897,315.22,235.56,0.00,0
